symbol,side,entry_price,exit_price,pnl_pct,hold_minutes,market_regime,trend,momentum,volatility,timestamp,date,time
BTCUSDT,short,70488.5,70536.4,-0.07,1,volatile,neutral,neutral,low,2026-03-10T19:37:55.840568,2026-03-10,19:37:55
BTCUSDT,short,70667.7,70700.0,-0.05,1,volatile,neutral,neutral,low,2026-03-10T19:41:00.200500,2026-03-10,19:41:00
BTCUSDT,short,70631.6,70398.9,0.33,5,volatile,neutral,neutral,low,2026-03-10T19:46:15.563507,2026-03-10,19:46:15
BTCUSDT,short,70635.2175,70800.0,-0.23,3,volatile,neutral,neutral,low,2026-03-10T19:49:27.362679,2026-03-10,19:49:27
BTCUSDT,short,70715.2,70660.0,0.08,4,volatile,neutral,neutral,low,2026-03-10T19:53:52.186999,2026-03-10,19:53:52
BTCUSDT,short,70415.88833333,70241.4,0.25,1,volatile,neutral,neutral,low,2026-03-10T22:50:23.000709,2026-03-10,22:50:23
BTCUSDT,short,71017.66,71349.9,-0.47,1,volatile,neutral,neutral,low,2026-03-10T22:57:51.928109,2026-03-10,22:57:51
BTCUSDT,short,71371.83333333,71200.0,0.24,1,volatile,neutral,neutral,low,2026-03-10T23:01:06.308626,2026-03-10,23:01:06
BTCUSDT,long,71015.01666668,71153.0,0.19,1,volatile,neutral,neutral,low,2026-03-10T23:08:30.451383,2026-03-10,23:08:30
BTCUSDT,long,70991.84666666,71194.7,0.29,6,volatile,neutral,neutral,low,2026-03-10T23:14:52.101599,2026-03-10,23:14:52
BTCUSDT,long,70900.75666667,71220.9,0.45,1,volatile,neutral,neutral,low,2026-03-10T23:22:13.418463,2026-03-10,23:22:13
BTCUSDT,long,71049.11,71399.0,0.49,1,volatile,neutral,neutral,low,2026-03-10T23:41:13.966234,2026-03-10,23:41:13
BTCUSDT,long,70909.63333332,70980.0,0.1,1,volatile,neutral,neutral,low,2026-03-10T23:42:14.917811,2026-03-10,23:42:14
BTCUSDT,long,70894.11666667,71010.6,0.16,1,volatile,neutral,neutral,low,2026-03-10T23:51:42.375899,2026-03-10,23:51:42
BTCUSDT,long,70667.55714286,71289.0,0.88,1,volatile,neutral,neutral,low,2026-03-10T23:55:53.100914,2026-03-10,23:55:53
BTCUSDT,long,70824.88333333,71200.0,0.53,1,volatile,neutral,neutral,low,2026-03-11T00:01:12.148272,2026-03-11,00:01:12
BTCUSDT,long,70937.48333333,70700.1,-0.33,1,volatile,neutral,neutral,low,2026-03-11T00:07:33.280729,2026-03-11,00:07:33
BTCUSDT,long,70983.16666667,71499.0,0.73,1,volatile,neutral,neutral,low,2026-03-11T00:25:40.984545,2026-03-11,00:25:40
BTCUSDT,long,71311.76666667,71051.0,-0.37,1,volatile,neutral,neutral,low,2026-03-11T00:30:57.367139,2026-03-11,00:30:57
BTCUSDT,long,70936.275,71197.0,0.37,1,volatile,neutral,neutral,low,2026-03-11T00:48:41.387596,2026-03-11,00:48:41
BTCUSDT,long,70945.36666667,71170.3,0.32,1,volatile,neutral,neutral,low,2026-03-11T00:54:59.241809,2026-03-11,00:54:59
BTCUSDT,long,70796.28636363,71298.2,0.71,1,volatile,neutral,neutral,low,2026-03-11T01:12:51.644033,2026-03-11,01:12:51
BTCUSDT,long,71026.65,71213.8,0.26,3,volatile,neutral,neutral,low,2026-03-11T01:15:58.841899,2026-03-11,01:15:58
BTCUSDT,long,70919.17666667,71191.9,0.38,1,volatile,neutral,neutral,low,2026-03-11T01:21:14.270205,2026-03-11,01:21:14
BTCUSDT,long,70912.66666666,71170.3,0.36,1,volatile,neutral,neutral,low,2026-03-11T01:26:31.507078,2026-03-11,01:26:31
BTCUSDT,long,70898.17333333,71033.0,0.19,5,volatile,neutral,neutral,low,2026-03-11T01:31:45.636988,2026-03-11,01:31:45
BTCUSDT,long,70720.48571429,70660.0,-0.09,1,volatile,neutral,neutral,low,2026-03-11T01:34:54.016396,2026-03-11,01:34:54
BTCUSDT,long,70538.1,70660.0,0.17,1,volatile,neutral,neutral,low,2026-03-11T01:35:55.976096,2026-03-11,01:35:55
BTCUSDT,long,70733.576,70635.0,-0.14,1,volatile,neutral,neutral,low,2026-03-11T01:40:12.593089,2026-03-11,01:40:12
BTCUSDT,short,70893.76666666,70635.0,0.37,4,volatile,neutral,neutral,low,2026-03-11T01:44:21.582692,2026-03-11,01:44:21
BTCUSDT,short,70700.475,71000.0,-0.42,1,volatile,neutral,neutral,low,2026-03-11T01:48:32.199623,2026-03-11,01:48:32
BTCUSDT,long,70734.25,70898.1,0.23,1,volatile,neutral,neutral,low,2026-03-11T01:51:38.274122,2026-03-11,01:51:38
BTCUSDT,short,70698.85666667,70700.0,-0.0,1,volatile,neutral,neutral,low,2026-03-11T01:57:50.556268,2026-03-11,01:57:50
BTCUSDT,short,70848.92,70500.1,0.49,1,volatile,neutral,neutral,low,2026-03-11T02:05:07.085823,2026-03-11,02:05:07
BTCUSDT,short,70903.59666667,70678.0,0.32,1,volatile,neutral,neutral,low,2026-03-11T02:10:15.404287,2026-03-11,02:10:15
BTCUSDT,short,70879.82,70001.1,1.24,1,volatile,neutral,neutral,low,2026-03-11T02:17:27.510981,2026-03-11,02:17:27
BTCUSDT,short,70239.96666667,70123.0,0.17,1,volatile,neutral,neutral,low,2026-03-11T02:22:38.984441,2026-03-11,02:22:38
BTCUSDT,short,70345.84,70026.7,0.45,1,volatile,neutral,neutral,low,2026-03-11T02:27:52.837671,2026-03-11,02:27:52
BTCUSDT,short,70555.16666668,70333.0,0.31,1,volatile,neutral,neutral,low,2026-03-11T02:34:05.805215,2026-03-11,02:34:05
BTCUSDT,short,70294.31818182,70227.7,0.09,1,volatile,neutral,neutral,low,2026-03-11T02:39:16.249965,2026-03-11,02:39:16
BTCUSDT,short,70187.95714286,70015.3,0.25,1,volatile,neutral,neutral,low,2026-03-11T02:48:37.417621,2026-03-11,02:48:37
BTCUSDT,short,69927.15999999,69931.2,-0.01,1,volatile,neutral,neutral,low,2026-03-11T03:05:13.562594,2026-03-11,03:05:13
BTCUSDT,short,69976.90666667,70059.5,-0.12,1,volatile,neutral,neutral,low,2026-03-11T03:12:30.200890,2026-03-11,03:12:30
BTCUSDT,short,70213.68222224,70060.4,0.22,1,volatile,neutral,neutral,low,2026-03-11T03:17:42.380958,2026-03-11,03:17:42
BTCUSDT,short,70424.8,70301.8,0.17,1,volatile,neutral,neutral,low,2026-03-11T03:22:51.781985,2026-03-11,03:22:51
BTCUSDT,short,70253.24333333,69950.2,0.43,1,volatile,neutral,neutral,low,2026-03-11T03:28:02.368619,2026-03-11,03:28:02
BTCUSDT,short,69971.71333333,69933.4,0.05,1,volatile,neutral,neutral,low,2026-03-11T03:34:12.622412,2026-03-11,03:34:12
BTCUSDT,short,70036.58333333,69887.3,0.21,1,volatile,neutral,neutral,low,2026-03-11T03:41:27.304201,2026-03-11,03:41:27
BTCUSDT,short,70049.23333333,70125.4,-0.11,1,volatile,neutral,neutral,low,2026-03-11T03:47:39.635840,2026-03-11,03:47:39
